,inspector_id,inspection_date,lended_inventory_id
0,16,2020-01-04 03:34:29,0
1,4,2020-01-04 03:35:47,1
2,15,2020-01-05 21:46:51,2
3,13,2020-01-05 21:47:31,3
4,20,2020-01-09 08:43:22,4
5,5,2020-01-09 08:44:18,5
6,5,2020-01-06 16:04:47,6
7,16,2020-01-06 16:05:55,7
8,11,2020-01-06 17:20:55,8
9,8,2020-01-08 04:32:42,9
10,4,2020-01-08 04:33:28,10
11,20,2020-01-07 12:59:33,11
12,4,2020-01-07 13:01:11,12
13,20,2020-01-08 19:11:25,13
14,7,2020-01-08 19:12:48,14
15,10,2020-01-09 08:48:31,15
16,15,2020-01-09 08:49:25,16
17,7,2020-01-08 17:03:13,17
18,16,2020-01-08 17:04:34,18
19,5,2020-01-08 00:29:22,19
20,8,2020-01-08 00:30:18,20
21,6,2020-01-09 09:47:54,21
22,8,2020-01-08 10:26:49,22
23,6,2020-01-10 09:17:45,23
24,18,2020-01-10 09:18:25,24
25,8,2020-01-11 16:18:21,25
26,18,2020-01-11 16:19:06,26
27,4,2020-01-13 13:28:05,27
28,18,2020-01-13 13:29:20,28
29,16,2020-01-16 17:47:08,30
30,17,2020-01-17 09:14:32,31
31,12,2020-01-17 09:15:51,32
32,20,2020-01-20 21:32:31,33
33,18,2020-01-20 21:33:40,34
34,13,2020-01-21 15:34:29,35
35,16,2020-01-21 15:35:59,36
36,15,2020-01-22 15:20:46,37
37,16,2020-01-22 15:22:25,38
38,16,2020-01-21 05:26:02,39
39,17,2020-01-21 05:27:12,40
40,3,2020-01-19 17:15:53,41
41,8,2020-01-19 17:16:51,42
42,7,2020-01-20 10:14:34,43
43,20,2020-01-20 10:15:22,44
44,12,2020-01-22 07:42:58,45
45,16,2020-01-22 07:44:17,46
46,18,2020-01-21 12:39:36,48
47,18,2020-01-22 12:25:32,49
48,18,2020-01-22 12:26:10,50
49,20,2020-01-21 18:55:41,51
50,12,2020-01-21 18:56:15,52
51,2,2020-01-21 16:34:37,53
52,20,2020-01-23 00:37:46,55
53,8,2020-01-23 00:38:48,56
54,20,2020-01-27 12:12:40,57
55,13,2020-01-27 12:13:44,58
56,2,2020-01-27 18:32:33,59
57,19,2020-01-27 18:34:08,60
58,14,2020-01-28 07:10:15,61
59,20,2020-01-28 07:11:44,62
60,14,2020-01-28 22:11:30,63
61,11,2020-01-28 22:12:22,64
62,20,2020-01-30 22:24:03,65
63,11,2020-01-30 22:24:46,66
64,7,2020-01-31 05:06:03,67
65,18,2020-01-31 05:07:21,68
66,16,2020-01-29 11:34:11,69
67,16,2020-01-29 11:35:11,70
68,20,2020-01-29 23:48:27,71
69,8,2020-01-29 23:49:05,72
70,11,2020-02-02 17:10:01,73
71,4,2020-02-02 17:11:11,74
72,20,2020-02-02 10:09:54,75
73,20,2020-02-02 10:11:16,76
74,16,2020-02-05 19:26:57,77
75,16,2020-02-05 19:28:29,78
76,9,2020-02-06 00:05:17,79
77,7,2020-02-06 00:06:20,80
78,6,2020-02-05 15:16:41,81
79,13,2020-02-05 15:18:08,82
80,20,2020-02-06 03:48:07,83
81,16,2020-02-06 03:48:47,84
82,4,2020-02-08 14:45:09,86
83,17,2020-02-06 10:50:20,87
84,20,2020-02-06 10:51:38,88
85,17,2020-02-08 12:15:20,90
86,9,2020-02-11 01:44:46,91
87,4,2020-02-11 01:45:19,92
88,7,2020-02-07 18:57:11,93
89,20,2020-02-07 18:58:51,94
90,4,2020-02-10 14:24:20,95
91,8,2020-02-10 14:25:22,96
92,14,2020-02-11 18:34:12,97
93,9,2020-02-11 18:34:42,98
94,16,2020-02-11 17:39:04,99
95,17,2020-02-11 17:39:45,100
96,10,2020-02-14 06:02:01,101
97,16,2020-02-16 06:47:05,102
98,3,2020-02-16 06:47:48,103
99,12,2020-02-14 14:56:55,104
100,9,2020-02-14 14:58:09,105
101,20,2020-02-15 15:55:44,106
102,12,2020-02-15 15:56:15,107
103,14,2020-02-18 15:47:42,108
104,2,2020-02-19 04:42:44,109
105,19,2020-02-19 04:43:55,110
106,16,2020-02-17 12:58:50,111
107,13,2020-02-17 12:59:59,112
108,9,2020-02-19 21:53:43,113
109,18,2020-02-19 21:55:14,114
110,11,2020-02-22 07:51:47,116
111,8,2020-02-20 14:36:16,117
112,11,2020-02-20 14:37:51,118
113,16,2020-02-22 11:10:28,119
114,20,2020-02-22 11:11:18,120
115,19,2020-02-21 19:46:16,121
116,17,2020-02-24 09:56:05,122
117,16,2020-02-24 09:57:32,123
118,4,2020-02-29 10:29:53,124
119,7,2020-02-29 10:31:08,125
120,17,2020-03-01 21:19:47,126
121,3,2020-03-01 21:20:43,127
122,1,2020-03-04 05:28:35,128
123,9,2020-03-04 05:29:59,129
124,20,2020-03-01 04:04:42,130
125,9,2020-03-01 04:06:06,131
126,5,2020-03-03 10:04:50,132
127,6,2020-03-03 10:05:51,133
128,14,2020-03-01 17:12:39,134
129,20,2020-03-01 17:13:20,135
130,20,2020-03-05 06:46:05,137
131,9,2020-03-03 20:59:12,138
132,12,2020-03-03 21:00:50,139
133,12,2020-03-04 18:15:54,140
134,2,2020-03-04 18:16:37,141
135,11,2020-03-05 17:48:05,143
136,14,2020-03-04 13:02:59,144
137,20,2020-03-04 13:03:50,145
138,9,2020-03-07 07:21:39,146
139,11,2020-03-07 17:34:36,148
140,16,2020-03-07 17:36:07,149
141,11,2020-03-06 02:57:23,150
142,3,2020-03-06 02:58:20,151
