activity,timestamp,rental,inventory,customer,staff,inspection,invoice,store,lifecycle
create_rental,2020-01-01 08:00:00.000000,[0],"[67, 117]",70,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:00:00.000000,[1],"[80, 99]",76,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:00:00.000000,[2],"[147, 15]",62,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:00:00.000000,[3],"[162, 78]",9,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:00:00.000000,[4],"[56, 89]",75,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 08:00:00.000000,[5],"[74, 62]",7,EMPTY,EMPTY,EMPTY,7,complete
create_invoice,2020-01-01 08:03:29.302325,"[1, 2]",EMPTY,EMPTY,7,EMPTY,"[0, 1]",6,complete
create_rental,2020-01-01 08:05:34.883720,[12],"[146, 107]",12,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 08:05:34.883720,[11],"[20, 30]",22,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:05:34.883720,[10],"[17, 42]",66,EMPTY,EMPTY,EMPTY,3,complete
pay_invoice,2020-01-01 08:05:34.883720,[1],EMPTY,76,EMPTY,EMPTY,[0],6,complete
create_rental,2020-01-01 08:05:34.883720,[8],"[16, 61]",10,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 08:05:34.883720,[7],"[114, 55]",48,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:05:34.883720,[6],"[26, 94]",13,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:05:34.883720,[9],"[88, 119]",49,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:11:09.767440,[19],"[70, 39]",44,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:11:09.767440,[21],"[128, 108]",73,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 08:11:09.767440,[20],"[84, 5]",54,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 08:11:09.767440,[18],"[8, 103]",58,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:11:09.767440,[14],"[130, 10]",69,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:11:09.767440,[16],"[152, 53]",24,EMPTY,EMPTY,EMPTY,3,complete
